title,company,location,posted_date,job_type,remote_option,salary_info,job_url,scraped_date
IT Support Specialist (all genders),,Aichach,vor 31 Minuten,Vollzeit,Teilweise Home-Office,,https://www.stepstone.de/stellenangebote--IT-Support-Specialist-all-genders-Aichach-Howmet-Fastening-Systems-Aichach-GmbH--13319454-inline.html,2025-11-11 16:40:22
System Administrator (all genders),,Munich,vor 3 Stunden,Vollzeit,Vor Ort,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--System-Administrator-all-genders-Munich-SKD-SE--13318445-inline.html,2025-11-11 16:40:22
1st & 2nd Level Systemadministrator (m/w/d),,Hamburg,vor 8 Stunden,Vollzeit,Teilweise Home-Office,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--1st-2nd-Level-Systemadministrator-m-w-d-Hamburg-Buhck-Umweltservices-GmbH-Co-KG--13314709-inline.html,2025-11-11 16:40:30
IT-Support Werkstudent (m/w/d),,Berlin,vor 7 Stunden,Werkstudent,Vor Ort,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--IT-Support-Werkstudent-m-w-d-Berlin-Lautsprecher-Teufel-GmbH--13317335-inline.html,2025-11-11 16:40:30
Ausbildung zum Fachinformatiker Systemintegration (m/w/d) ab 01.09.2026,,Dettingen,vor 9 Stunden,Vollzeit,Vor Ort,,https://www.stepstone.de/stellenangebote--Ausbildung-zum-Fachinformatiker-Systemintegration-m-w-d-ab-01-09-2026-Dettingen-Liebherr-Baumaschinen-Vertriebs-und-Service-GmbH--13188691-inline.html,2025-11-11 16:40:30
Techn. Systemspezialist:in Radiologie (m/w/d),,Office,vor 5 Stunden,Vollzeit,Teilweise Home-Office,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Techn-Systemspezialist-in-Radiologie-m-w-d-bundesweit-Home-Office-Dedalus-HealthCare-GmbH--12645962-inline.html,2025-11-11 16:40:30
IT First Level Support / Help Desk (m/w/d),,Heilbronn,vor 12 Stunden,Vollzeit,Teilweise Home-Office,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--IT-First-Level-Support-Help-Desk-m-w-d-Augsburg-Bensheim-Braunschweig-Bremerhaven-Duisburg-Gummersbach-Hamm-Heilbronn-Amadeus-Fire-AG--13130059-inline.html,2025-11-11 16:40:30
Kopie von Vertriebsassistent / Sales Support Mitarbeiter (m/w/d) – Outbound / Telemarketing,,Krefeld,vor 17 Minuten,Vollzeit,Vor Ort,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Kopie-von-Vertriebsassistent-Sales-Support-Mitarbeiter-m-w-d-Outbound-Telemarketing-Krefeld-Radwell-International-Germany-GmbH--13319564-inline.html,2025-11-11 16:40:30
Applikationsspezialist:in Kardiologie (m/w/d),,Office,vor 5 Stunden,Vollzeit,Teilweise Home-Office,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Applikationsspezialist-in-Kardiologie-m-w-d-bundesweit-Home-Office-Dedalus-HealthCare-GmbH--12813281-inline.html,2025-11-11 16:40:30
Staatlich geprüfte*r Techniker*in (m/w/d),,Bonn,vor 10 Stunden,Vollzeit,Teilweise Home-Office,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Staatlich-gepruefter-Technikerin-m-w-d-Bonn-Bundesamt-fuer-Strahlenschutz--13317252-inline.html,2025-11-11 16:40:30
