job_id,title,company,location,posted_date,job_url,description,seniority_level,employment_type,job_function,industries
,Field Service Technician (Swing Shift),Bloom Energy,"New Haven, CT",2025-11-11,https://www.linkedin.com/jobs/view/field-service-technician-swing-shift-at-bloom-energy-4308136915?position=47&pageNum=0&refId=VPJNkZNihOJKxR3g9LYbkQ%3D%3D&trackingId=69tQc4JeTuFepDRdwulvWw%3D%3D,,,,,
,"Systems Engineer, Senior",CGI,"Arlington, VA",2025-11-11,https://www.linkedin.com/jobs/view/systems-engineer-senior-at-cgi-4308170379?position=48&pageNum=0&refId=VPJNkZNihOJKxR3g9LYbkQ%3D%3D&trackingId=zs%2BgOn57addKb4idtlyj4g%3D%3D,,,,,
,Staff Engineer,Terracon,"San Antonio, TX",2025-11-11,https://www.linkedin.com/jobs/view/staff-engineer-at-terracon-4334458450?position=49&pageNum=0&refId=VPJNkZNihOJKxR3g9LYbkQ%3D%3D&trackingId=%2FhM4HDt8rvc%2F3qKbrQujtA%3D%3D,,,,,
,"Schneider Electric, Electrical Engineering Hardware Co-Op - Application via WayUp",WayUp,"Cedar Rapids, IA",2025-11-11,https://www.linkedin.com/jobs/view/schneider-electric-electrical-engineering-hardware-co-op-application-via-wayup-at-wayup-4312366542?position=50&pageNum=0&refId=VPJNkZNihOJKxR3g9LYbkQ%3D%3D&trackingId=bIcY%2FPZ53Phy6Em1rnwUZQ%3D%3D,,,,,
,"Research Associate - III, Histology Technical Specialist",Unicon Pharma Inc,"San Mateo, CA",2025-11-11,https://www.linkedin.com/jobs/view/research-associate-iii-histology-technical-specialist-at-unicon-pharma-inc-4339924288?position=51&pageNum=0&refId=VPJNkZNihOJKxR3g9LYbkQ%3D%3D&trackingId=Go0lbYdgPv9z0Esor0%2BoIg%3D%3D,,,,,
,Staff Engineer,Terracon,"Nederland, TX",2025-11-11,https://www.linkedin.com/jobs/view/staff-engineer-at-terracon-4335385666?position=52&pageNum=0&refId=VPJNkZNihOJKxR3g9LYbkQ%3D%3D&trackingId=fNmvP2h1U%2Fv1xOTz82wogA%3D%3D,,,,,
,Parking Ops Field Support Spec,Dallas Fort Worth International Airport (DFW),Dallas-Fort Worth Metroplex,2025-11-11,https://www.linkedin.com/jobs/view/parking-ops-field-support-spec-at-dallas-fort-worth-international-airport-dfw-4335535368?position=53&pageNum=0&refId=VPJNkZNihOJKxR3g9LYbkQ%3D%3D&trackingId=ktONEjVvdquaK2FXSJ934w%3D%3D,,,,,
,Entry-Level Account Manager,OneSparQ,"Cleveland, OH",2025-11-11,https://www.linkedin.com/jobs/view/entry-level-account-manager-at-onesparq-4335555179?position=54&pageNum=0&refId=VPJNkZNihOJKxR3g9LYbkQ%3D%3D&trackingId=p%2BbXj6sdaclFQ6feeJCNWw%3D%3D,,,,,
,Automotive General Service Technician,AAA-The Auto Club Group,"Johns Creek, GA",2025-11-11,https://www.linkedin.com/jobs/view/automotive-general-service-technician-at-aaa-the-auto-club-group-4316649242?position=55&pageNum=0&refId=VPJNkZNihOJKxR3g9LYbkQ%3D%3D&trackingId=kFjfhkhAgUuYU5d9lgzkpg%3D%3D,,,,,
,Assembler 1,Milwaukee Tool,"Greenwood, MS",2025-11-11,https://www.linkedin.com/jobs/view/assembler-1-at-milwaukee-tool-4335575212?position=56&pageNum=0&refId=VPJNkZNihOJKxR3g9LYbkQ%3D%3D&trackingId=G1it3nSXn%2FQB5oKK0w0pJQ%3D%3D,,,,,
,Assembler - 1st shift,Emerson,"Southaven, MS",2025-11-11,https://www.linkedin.com/jobs/view/assembler-1st-shift-at-emerson-4335575196?position=57&pageNum=0&refId=VPJNkZNihOJKxR3g9LYbkQ%3D%3D&trackingId=Yq2M%2FDq7T3VqI8uDF1ZEzw%3D%3D,,,,,
,Sales Development Representative,Insight Global,"Ashburn, VA",2025-11-11,https://www.linkedin.com/jobs/view/sales-development-representative-at-insight-global-4321886282?position=58&pageNum=0&refId=VPJNkZNihOJKxR3g9LYbkQ%3D%3D&trackingId=cgfsRbMgiRtNjZKa5aYPWQ%3D%3D,,,,,
,Automotive General Service Technician,AAA-The Auto Club Group,"Plains, GA",2025-11-11,https://www.linkedin.com/jobs/view/automotive-general-service-technician-at-aaa-the-auto-club-group-4316652096?position=59&pageNum=0&refId=VPJNkZNihOJKxR3g9LYbkQ%3D%3D&trackingId=s15RG5Z6n40tIneoaqSDtw%3D%3D,,,,,
,Facility Manager (non exempt),Lucky Strike Entertainment,"Ohio, United States",2025-11-11,https://www.linkedin.com/jobs/view/facility-manager-non-exempt-at-lucky-strike-entertainment-4317516201?position=60&pageNum=0&refId=VPJNkZNihOJKxR3g9LYbkQ%3D%3D&trackingId=dFwcrSDAH%2Bncz%2FB2NbFzBQ%3D%3D,,,,,
